Kσd ADM;Kσd obce;Nαzev obce;Kσd MOMC;Nαzev MOMC;Kσd obvodu Prahy;Nαzev obvodu Prahy;Kσd θαsti obce;Nαzev θαsti obce;Kσd ulice;Nαzev ulice;Typ SO;Θνslo domovnν;Θνslo orientaθnν;Znak θνsla orientaθnνho;PSΘ;Souψadnice Y;Souψadnice X;Platν Od
27522059;530727;Brnνθko;;;;;157201;Strupνn;;;θ.p.;49;;;78975;561835.02;1087011.06;2013-12-04T00:00:00
27923452;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;194;;;78975;563465.92;1086877.98;2013-12-04T00:00:00
28013328;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;195;;;78975;563953.00;1086278.00;2013-12-04T00:00:00
28099214;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;196;;;78975;564058.59;1086850.08;2013-12-04T00:00:00
28108523;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;197;;;78975;564039.04;1086856.77;2014-02-13T00:00:00
28161025;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;198;;;78975;563988.07;1086256.82;2013-12-04T00:00:00
28161033;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;199;;;78975;563407.34;1086860.54;2015-05-21T00:00:00
28161041;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;200;;;78975;563987.80;1086416.56;2013-12-04T00:00:00
30905761;530727;Brnνθko;;;;;157201;Strupνn;;;θ.ev.;3;;;78975;562272.69;1086820.93;2013-12-04T00:00:00
41645235;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;202;;;78975;564217.74;1086426.91;2013-12-04T00:00:00
73243876;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;191;;;78975;563976.76;1086221.34;2014-12-03T00:00:00
73440264;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;204;;;78975;564423.63;1086440.11;2015-02-17T00:00:00
74367838;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;205;;;78975;564231.32;1086455.79;2015-12-14T00:00:00
75418436;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.ev.;15;;;78975;564053.52;1086790.19;2016-10-12T00:00:00
75666294;530727;Brnνθko;;;;;9938;Brnνθko;;;θ.p.;203;;;78975;564329.84;1086625.71;2016-12-21T00:00:00
