Kףd ADM;Kףd obce;Nבzev obce;Kףd MOMC;Nבzev MOMC;Kףd obvodu Prahy;Nבzev obvodu Prahy;Kףd טבsti obce;Nבzev טבsti obce;Kףd ulice;Nבzev ulice;Typ SO;ָםslo domovnם;ָםslo orientaטnם;Znak טםsla orientaטnםho;PSָ;Souרadnice Y;Souרadnice X;Platם Od
14693470;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;100;;;37832;710992.14;1162472.63;2013-12-01T00:00:00
14693488;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;101;;;37832;711258.76;1162495.84;2013-12-01T00:00:00
14693496;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;103;;;37832;711010.36;1162446.20;2013-12-01T00:00:00
14693500;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;104;;;37832;709711.19;1160337.15;2013-12-01T00:00:00
14693518;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;105;;;37832;710798.79;1162321.97;2013-12-01T00:00:00
14693526;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;106;;;37832;709646.85;1159243.41;2013-12-01T00:00:00
14693534;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;107;;;37832;710965.02;1162383.91;2013-12-01T00:00:00
14693542;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;108;;;37832;711435.37;1162756.51;2013-12-01T00:00:00
14693551;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;109;;;37832;710978.87;1162401.03;2013-12-01T00:00:00
14693569;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;110;;;37832;709723.27;1160337.29;2013-12-01T00:00:00
14693577;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;113;;;37832;711052.51;1162650.99;2013-12-01T00:00:00
14693585;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;114;;;37832;710432.65;1162279.70;2013-12-01T00:00:00
14693593;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;115;;;37832;710971.78;1162828.20;2013-12-01T00:00:00
14693607;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;117;;;37832;710789.81;1162315.53;2013-12-01T00:00:00
14693623;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;119;;;37832;711092.14;1162244.18;2013-12-01T00:00:00
14693631;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;120;;;37832;711077.66;1162592.02;2013-12-01T00:00:00
14693640;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;121;;;37832;711058.35;1162626.96;2013-12-01T00:00:00
14693658;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;122;;;37832;711169.01;1162353.18;2013-12-01T00:00:00
14693666;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;123;;;37832;711193.84;1162325.93;2013-12-01T00:00:00
14693674;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;124;;;37832;710990.10;1162318.91;2013-12-01T00:00:00
14693682;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;125;;;37832;711005.72;1162287.03;2013-12-01T00:00:00
14693691;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;126;;;37832;711063.40;1162258.10;2013-12-01T00:00:00
14693704;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;127;;;37832;711101.83;1162609.41;2013-12-01T00:00:00
14693712;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;128;;;37832;709502.54;1161212.71;2013-12-01T00:00:00
14693721;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;129;;;37832;711118.83;1162374.09;2013-12-01T00:00:00
14693739;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.p.;130;;;37832;710679.01;1162165.98;2013-12-01T00:00:00
14693747;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;1;;;37832;709363.04;1159955.63;2013-12-01T00:00:00
14693755;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;2;;;37832;709497.62;1159516.60;2013-12-01T00:00:00
14693763;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;3;;;37832;709583.37;1161890.01;2013-12-01T00:00:00
14693771;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;4;;;37832;709295.52;1160162.74;2013-12-01T00:00:00
14693780;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;5;;;37832;709648.16;1161730.07;2013-12-01T00:00:00
14693798;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;6;;;37832;709433.65;1161767.61;2013-12-01T00:00:00
14693801;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;7;;;37832;709689.42;1161776.72;2013-12-01T00:00:00
14693810;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;10;;;37832;709654.38;1159202.07;2013-12-01T00:00:00
14693828;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;26;;;37832;711176.50;1162637.99;2016-08-25T00:00:00
14693836;546101;ָםmלר;;;;;23868;ָםmלר;;;ט.ev.;29;;;37832;711136.63;1162489.68;2013-12-01T00:00:00
14693844;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;1;;;37833;708986.39;1162872.40;2013-12-01T00:00:00
14693852;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;2;;;37833;708965.44;1162810.50;2013-12-01T00:00:00
14693861;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;3;;;37833;708964.81;1162798.38;2013-12-01T00:00:00
14693879;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;5;;;37833;708950.75;1162728.75;2013-12-01T00:00:00
14693887;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;6;;;37833;708968.39;1162687.02;2022-10-22T00:00:00
14693895;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;8;;;37833;708940.70;1162627.22;2022-10-22T00:00:00
14693909;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;9;;;37833;708935.76;1162588.96;2022-10-22T00:00:00
14693917;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;10;;;37833;708930.25;1162537.63;2013-12-01T00:00:00
14693925;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;11;;;37833;708910.19;1162542.88;2013-12-01T00:00:00
14693933;546101;ָםmלר;;;;;23876;Dobrב Voda;;;ט.p.;12;;;37833;708917.31;1162507.00;2013-12-01T00:00:00
