KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
75368129;570826;Kosmonosy;;;;;402885;Kosmonosy;;;Ë.ev.;150;;;29306;703115.30;1008647.68;2016-10-04T00:00:00
75451891;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1276;;;29306;702110.54;1008382.35;2016-10-21T00:00:00
75451972;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1275;;;29306;702117.19;1008382.51;2016-10-21T00:00:00
75490439;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;174;;;29301;699435.73;1008013.83;2016-11-03T00:00:00
75674424;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1132;;;29306;702554.99;1008420.74;2016-12-23T00:00:00
75674637;570826;Kosmonosy;;;;;402885;Kosmonosy;290793;Podz·meck·;Ë.p.;1249;;;29306;702348.10;1009572.50;2016-12-23T00:00:00
75697823;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1272;;;29306;702135.33;1008384.22;2017-01-05T00:00:00
75806681;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1274;;;29306;702123.37;1008382.46;2017-02-07T00:00:00
76136141;570826;Kosmonosy;;;;;44130;HornÌ Stakory;;;Ë.p.;185;;;29301;699200.27;1008647.43;2024-04-11T00:00:00
76290620;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1278;;;29306;702098.30;1008385.36;2017-06-15T00:00:00
78049890;570826;Kosmonosy;;;;;402885;Kosmonosy;290785;Pod Oborou;Ë.p.;1304;;;29306;702751.47;1008656.95;2018-02-26T00:00:00
78049920;570826;Kosmonosy;;;;;402885;Kosmonosy;771465;OkruûnÌ;Ë.p.;1133;;;29306;702562.67;1008449.19;2018-02-26T00:00:00
78431379;570826;Kosmonosy;;;;;402885;Kosmonosy;771457;Na Svahu;Ë.p.;1102;;;29306;702314.88;1008473.95;2018-06-13T00:00:00
78623537;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1279;;;29306;702075.34;1008381.11;2018-08-22T00:00:00
78624291;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1281;;;29306;702069.59;1008363.43;2018-08-22T00:00:00
78624410;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1280;;;29306;702073.18;1008371.57;2018-08-22T00:00:00
78624525;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1282;;;29306;702066.54;1008353.84;2018-08-22T00:00:00
78881498;570826;Kosmonosy;;;;;402885;Kosmonosy;1767275;U Vodojemu;Ë.p.;1283;;;29306;702065.35;1008346.29;2018-11-20T00:00:00
