Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
7216904;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;97;;;54906;621415.25;1033114.35;2013-11-29T00:00:00
7216912;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;98;;;54906;621535.17;1033139.05;2013-11-29T00:00:00
7216921;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;99;;;54906;621452.95;1033148.89;2013-11-29T00:00:00
7216939;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;100;;;54906;621457.70;1033101.62;2013-11-29T00:00:00
7216947;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;101;;;54906;621495.84;1033108.15;2013-11-29T00:00:00
7216955;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;102;;;54906;621525.50;1033093.90;2013-11-29T00:00:00
7216963;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;103;;;54906;621549.73;1033073.82;2013-11-29T00:00:00
7216971;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;104;;;54906;621573.58;1033071.33;2022-12-08T00:00:00
7216980;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;105;;;54906;621538.31;1033157.37;2013-11-29T00:00:00
7216998;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;106;;;54906;621506.68;1033147.35;2013-11-29T00:00:00
7217005;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;107;;;54906;621485.15;1033188.79;2013-11-29T00:00:00
7217013;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;108;;;54906;621528.25;1033272.67;2013-11-29T00:00:00
7217021;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;109;;;54906;621527.46;1033308.48;2014-01-16T00:00:00
7217030;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;110;;;54906;621551.96;1033332.43;2013-11-29T00:00:00
7217048;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;111;;;54906;621557.52;1033344.76;2013-11-29T00:00:00
7217056;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;112;;;54906;621723.28;1032423.73;2013-11-29T00:00:00
7217064;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;113;;;54906;621609.54;1033351.30;2013-11-29T00:00:00
7217072;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;114;;;54906;621620.39;1033371.90;2013-11-29T00:00:00
7217081;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;115;;;54906;622591.57;1033106.04;2013-11-29T00:00:00
7217099;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;116;;;54906;621623.99;1033399.95;2013-11-29T00:00:00
7217102;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;117;;;54906;621602.35;1033426.75;2013-11-29T00:00:00
7217111;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;118;;;54906;621646.64;1033450.62;2013-11-29T00:00:00
7217129;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;119;;;54906;621609.92;1033462.74;2013-11-29T00:00:00
7217145;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;121;;;54906;621631.11;1033576.14;2013-11-29T00:00:00
7217153;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;122;;;54906;621675.41;1033632.50;2013-11-29T00:00:00
7217161;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;123;;;54906;621630.95;1033666.58;2013-11-29T00:00:00
7217170;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;124;;;54906;621631.29;1033707.33;2013-11-29T00:00:00
7217188;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;125;;;54906;621672.15;1033721.84;2013-11-29T00:00:00
7217196;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;126;;;54906;621662.46;1033738.52;2013-11-29T00:00:00
7217200;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;127;;;54906;621635.79;1033759.16;2013-11-29T00:00:00
7217218;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;128;;;54906;621610.91;1033780.17;2013-11-29T00:00:00
7217226;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;129;;;54906;621536.90;1033809.43;2013-11-29T00:00:00
7217234;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;130;;;54906;621511.34;1033856.78;2013-11-29T00:00:00
7217242;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;131;;;54906;621478.81;1033872.92;2013-11-29T00:00:00
7217251;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;132;;;54906;622486.09;1033150.43;2013-11-29T00:00:00
7217269;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;133;;;54906;621451.33;1033922.77;2013-11-29T00:00:00
7217277;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;134;;;54906;621429.20;1033989.19;2013-11-29T00:00:00
7217285;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;135;;;54906;621447.17;1034010.27;2013-11-29T00:00:00
7217293;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;136;;;54906;621488.21;1033972.50;2013-11-29T00:00:00
7217307;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;137;;;54906;621505.70;1034016.49;2013-11-29T00:00:00
7217315;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;138;;;54906;621548.31;1033991.01;2013-11-29T00:00:00
7217323;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;139;;;54906;621564.06;1033947.85;2013-11-29T00:00:00
7217331;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;140;;;54906;621531.38;1033925.88;2013-11-29T00:00:00
7217340;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;141;;;54906;621546.69;1033913.61;2013-11-29T00:00:00
7217358;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;142;;;54906;621568.83;1033884.94;2013-11-29T00:00:00
7217366;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;143;;;54906;621599.29;1033903.38;2013-11-29T00:00:00
7217374;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;144;;;54906;621656.51;1033856.90;2013-11-29T00:00:00
7217382;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;145;;;54906;621705.13;1033794.23;2013-11-29T00:00:00
7217412;573892;Bohuslavice;;;;;6467;Bohuslavice;;;и.p.;148;;;54906;621713.74;1033712.93;2013-11-29T00:00:00
