Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;Инslo domovnн;Инslo orientaиnн;Znak инsla orientaиnнho;PSИ;Souшadnice Y;Souшadnice X;Platн Od
1945645;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;82;;;67962;602785.30;1116448.17;2013-12-03T00:00:00
1945653;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;83;;;67962;603092.95;1116150.36;2013-12-03T00:00:00
1945661;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;84;;;67962;603104.25;1116147.23;2013-12-03T00:00:00
1945670;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;86;;;67962;603017.23;1116308.51;2013-12-03T00:00:00
1945688;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;87;;;67962;603032.87;1116299.77;2013-12-03T00:00:00
1945696;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;88;;;67962;602855.83;1116472.56;2013-12-03T00:00:00
1945700;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;89;;;67962;602850.93;1116484.63;2013-12-03T00:00:00
1945718;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;90;;;67962;603120.53;1116139.96;2013-12-03T00:00:00
1945726;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;91;;;67962;603129.80;1116136.71;2013-12-03T00:00:00
1945734;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;92;;;67962;602701.87;1116491.50;2013-12-03T00:00:00
1945742;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;93;;;67962;603048.85;1116291.39;2013-12-03T00:00:00
1945751;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;94;;;67962;602729.58;1116582.76;2013-12-03T00:00:00
1945769;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;95;;;67962;603100.95;1116169.49;2013-12-03T00:00:00
1945777;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;96;;;67962;603069.99;1116177.72;2013-12-03T00:00:00
1945785;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;97;;;67962;603056.12;1116250.78;2013-12-03T00:00:00
1945793;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;98;;;67962;602922.06;1116257.17;2017-08-08T00:00:00
1945807;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;99;;;67962;603019.32;1116265.84;2013-12-03T00:00:00
1945815;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;100;;;67962;602947.03;1116280.19;2013-12-03T00:00:00
1945823;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;101;;;67962;602617.65;1116457.98;2013-12-03T00:00:00
1945831;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;102;;;67962;603159.99;1116087.64;2013-12-03T00:00:00
1945840;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;103;;;67962;603163.20;1116279.97;2013-12-03T00:00:00
1945858;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;104;;;67962;603137.00;1116288.89;2013-12-03T00:00:00
1945866;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;105;;;67962;602701.19;1116548.22;2013-12-03T00:00:00
1945874;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;106;;;67962;602936.52;1116433.49;2013-12-03T00:00:00
1945882;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;107;;;67962;603092.29;1116067.52;2013-12-03T00:00:00
1945891;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;108;;;67962;602521.96;1116410.88;2013-12-03T00:00:00
1945904;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;109;;;67962;602527.00;1116425.60;2013-12-03T00:00:00
1945912;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;110;;;67962;603219.68;1116341.06;2013-12-03T00:00:00
1945921;581631;Hornн Poшнин;;;;;43842;Hornн Poшнин;;;и.p.;111;;;67962;603235.55;1116352.70;2013-12-03T00:00:00
